title1,title2,score
"Sossion urges Interior Ministry to prosecute goon sponsors","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.847364
"Wetang'ula risks jail over alleged breach of court orders on political campaigns","Wetang'ula faces contempt of court over Ruto campaign order",0.845972
"Chuka University courses offered in 2025/2026, fees and cluster points","University of Eldoret courses, cluster points & fees structure",0.845596
"Sossion urges Interior Ministry to prosecute goon sponsors","Caroli Omondi accuses State of using plainclothes officers as goons",0.843043
"Muchina makes final appeal as Ol Kalou campaigns end","Ol Kalou by-election: William Ruto's candidate likely to lose, new poll shows",0.839590
"DCP gains ground in Nyeri Town as Roba Wa Bursary launches Gatitu drive","Rigathi Gachagua meets Nairobi Senate aspirant Ken Babu at Wamunyoro residence",0.839535
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho",0.834238
"Kenyan newspapers review: Linda Mwananchi leaders attacked by goons in Kisumu, Nyahururu","Kenyan newspapers review, July 14: Survey suggests run-off is likely in 2027 presidential vote",0.833659
"MP Caroli Omondi: Goons are hired criminals, not political activists","Sossion asserts goons are paid by politicians across political divide",0.833144
"Sossion asserts goons are paid by politicians across political divide","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.831920
"Police probe alleged shooting involving EALA lawmaker Kanini Kega","EALA MP Kanini Kega reports that he has been attacked at Kasuku in Nyandarua",0.831919
"Sossion urges Interior Ministry to prosecute goon sponsors","MP Caroli Omondi: Goons are hired criminals, not political activists",0.830756
"Close Gachagua Ally and MP Attacked in Ol Kalou","EALA MP Kanini Kega reports that he has been attacked at Kasuku in Nyandarua",0.827534
"Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.826767
"Kanini Kega warns UDA will be buried in Ol Kalou by-election on July 16","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.826278
"SK Macharia’s PSV insurer topples Ruto-linked firm","Seven insurance firms face IRA fines for reporting breaches",0.824655
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho",0.824562
"Panic as Fire Breaks Out Inside High School","Fresh details reveal why Jomo Kenyatta Boys students set 10 classes and offices on fire",0.823568
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk",0.820469
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised",0.820335
"Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll","EALA MP Kanini Kega reports that he has been attacked at Kasuku in Nyandarua",0.820241
"Caroli Omondi accuses State of using plainclothes officers as goons","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.819572
"Sossion urges Interior Ministry to prosecute goon sponsors","Kindiki: Those aiding violence will be punished, regardless of who they support",0.818561
"Kindiki: Those aiding violence will be punished, regardless of who they support","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.818029
"Kithure Kindiki emerges as most preferred running mate for William Ruto in 2027, new poll","Oburu Oginga declares ODM will not field presidential candidate in 2027 poll",0.814980
"KNEC Gives 30-Day Deadline After Release of Exam Results for Some Students","KMTC Issues Update on Course Applications Amid Concerns over Admissions",0.813857
"Political gangs are a ticking bomb","Take swift and firm actions to stop rising goon attacks",0.812403
"Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho","Ol Kalou by-election: DCP leaders ask IEBC to disqualify UDA candidate over voter bribery",0.811360
"Africa food future won’t be fixed by finance alone","Africa's population boom can be its greatest asset",0.810279
"Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho","Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk",0.808933
"Moses Kuria says violence against Linda Mwananchi team in Nyahururu was not organised by opposition","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.807722
"Lobby Group Piles Pressure on IEBC Ahead of Ol Kalou By-Election","EACC launches probe into Ol Kalou voter bribery claims",0.806777
"Kenyan newspapers, July 12: Rigathi Gachagua to present Uhuru report after 45-day conclave","Kenyan newspapers review, July 14: Survey suggests run-off is likely in 2027 presidential vote",0.806234
"Governor Irungu Kang'ata's driver allegedly shot by police during chaos in Ol Kalou","Close Gachagua Ally and MP Attacked in Ol Kalou",0.806226
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.805958
"Sossion asserts goons are paid by politicians across political divide","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.805800
"Sossion urges Interior Ministry to prosecute goon sponsors","County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons",0.805092
"Kipchumba Murkomen condemns goonism, political violence ahead of Ol Kalou by-election","Take swift and firm actions to stop rising goon attacks",0.805007
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk",0.804772
"DCP’s Kamau Ngotho urges Ol Kalou voters outside constituency to contact him before poll","Ol Kalou by-election: William Ruto's candidate likely to lose, new poll shows",0.804241
"CAF Awards President Ruto Ahead 2027 AFCON","Ruto Reveals New Timelines for Completion of Deadly Stalled Bridge",0.803809
"Kenyan newspapers, July 12: Rigathi Gachagua to present Uhuru report after 45-day conclave","Kenyan newspapers review: Linda Mwananchi leaders attacked by goons in Kisumu, Nyahururu",0.803257
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Ol Kalou by-election: DCP leaders ask IEBC to disqualify UDA candidate over voter bribery",0.803212
"Governor's Driver Shot as Chaos Erupt During Rally","Kenyan newspapers review: Linda Mwananchi leaders attacked by goons in Kisumu, Nyahururu",0.803117
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.801261
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","Sossion asserts goons are paid by politicians across political divide",0.800249
"MP Caroli Omondi: Goons are hired criminals, not political activists","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.800061
"Kindiki: Those aiding violence will be punished, regardless of who they support","County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons",0.800043
"Rigathi Gachagua reveals he'll follow Uhuru Kenyatta's political direction: ""Chanda na pete""","Rigathi Gachagua meets Nairobi Senate aspirant Ken Babu at Wamunyoro residence",0.799812
"Tragedy as Grade 9 Student Dies After Falling From Rooftop at CITAM Schools Ngong","DCI Makes First Arrest In Case Involving Pastor's Daughter's Murder",0.799377
"William Ruto launches 2027 charm offensive in Kalonzo's Ukambani stronghold","Oburu Oginga declares ODM will not field presidential candidate in 2027 poll",0.799201
"Governor's Driver Shot as Chaos Erupt During Rally","Close Gachagua Ally and MP Attacked in Ol Kalou",0.799084
"Kalonzo-Sifuna tops preferred opposition pairing for 2027 presidential race, new poll","Oburu Oginga declares ODM will not field presidential candidate in 2027 poll",0.798902
"KNEC Gives 30-Day Deadline After Release of Exam Results for Some Students","NTSA Gives Fresh Directive Over Unclaimed Logbooks, Number Plates & Licences",0.798667
"Kithure Kindiki emerges as most preferred running mate for William Ruto in 2027, new poll","William Ruto launches 2027 charm offensive in Kalonzo's Ukambani stronghold",0.797926
"Muchina makes final appeal as Ol Kalou campaigns end","Kanini Kega warns UDA will be buried in Ol Kalou by-election on July 16",0.797820
"Kindiki: Those aiding violence will be punished, regardless of who they support","Sossion asserts goons are paid by politicians across political divide",0.797147
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.796921
"Kindiki: Those aiding violence will be punished, regardless of who they support","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.796752
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Governor Irungu Kang'ata's driver allegedly shot by police during chaos in Ol Kalou",0.795615
"Chuka University courses offered in 2025/2026, fees and cluster points","Meru National Polytechnic fee structure, admission letters, courses, and student portal",0.794745
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Ol Kalou by-election: IEBC issues update amid fears of postponing July 16 minipoll",0.794334
"Governor Irungu Kang'ata's driver allegedly shot by police during chaos in Ol Kalou","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.794092
"Kenyan newspapers review: Linda Mwananchi leaders attacked by goons in Kisumu, Nyahururu","Police Address Alleged Shooting of Governor Irungu Kang'ata's Driver",0.792218
"Police Address Alleged Shooting of Governor Irungu Kang'ata's Driver","Close Gachagua Ally and MP Attacked in Ol Kalou",0.792130
"Ol Kalou by-election: IEBC issues update amid fears of postponing July 16 minipoll","Ol Kalou by-election: DCP leaders ask IEBC to disqualify UDA candidate over voter bribery",0.792009
"Speaker Moses Wetang'ula faces possible jail term as High Court Certifies contempt case urgent","Wetang'ula faces contempt of court over Ruto campaign order",0.790414
"Meru National Polytechnic fee structure, admission letters, courses, and student portal","University of Eldoret courses, cluster points & fees structure",0.790368
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Caroli Omondi accuses State of using plainclothes officers as goons",0.790285
"Kindiki: Those aiding violence will be punished, regardless of who they support","MP Caroli Omondi: Goons are hired criminals, not political activists",0.790183
"KMTC Issues Update on Course Applications Amid Concerns over Admissions","Meru National Polytechnic fee structure, admission letters, courses, and student portal",0.790094
"William Ruto launches 2027 charm offensive in Kalonzo's Ukambani stronghold","Ruto Reveals New Timelines for Completion of Deadly Stalled Bridge",0.789904
"Sossion urges Interior Ministry to prosecute goon sponsors","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.789336
"Caleb Amisi predicts 2027 run-off after poll places Ruto ahead with 32 per cent","Kenyan newspapers review, July 14: Survey suggests run-off is likely in 2027 presidential vote",0.789160
"William Ruto launches 2027 charm offensive in Kalonzo's Ukambani stronghold","Kalonzo-Sifuna tops preferred opposition pairing for 2027 presidential race, new poll",0.788766
"Governor's Driver Shot as Chaos Erupt During Rally","Kisumu: James Orengo condemns near-goon attack on him, Edwin Sifuna at church",0.788740
"Lobby Group Piles Pressure on IEBC Ahead of Ol Kalou By-Election","DCP’s Kamau Ngotho urges Ol Kalou voters outside constituency to contact him before poll",0.787779
"Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.787525
"MP Caroli Omondi: Goons are hired criminals, not political activists","Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service",0.787321
"Rigathi Gachagua warns Matiang'i against ditching opposition for Ruto's side: ""Utaenda pekee yako""","Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most",0.787032
"Kalonzo-Sifuna tops preferred opposition pairing for 2027 presidential race, new poll","Raila Odinga Junior hints at seeking elective seat, asks Kenyans to support him: ""Nimeanza safari""",0.786723
"Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service","Sossion asserts goons are paid by politicians across political divide",0.786676
"Ol Kalou by-election: William Ruto's candidate likely to lose, new poll shows","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.786242
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Ol Kalou by-election: DCP leaders ask IEBC to disqualify UDA candidate over voter bribery",0.785824
"Moses Kuria says violence against Linda Mwananchi team in Nyahururu was not organised by opposition","Kindiki: Those aiding violence will be punished, regardless of who they support",0.785195
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Kindiki: Those aiding violence will be punished, regardless of who they support",0.784505
"Raila Odinga Junior hints at seeking elective seat, asks Kenyans to support him: ""Nimeanza safari""","Oburu Oginga declares ODM will not field presidential candidate in 2027 poll",0.783765
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Kipchumba Murkomen condemns goonism, political violence ahead of Ol Kalou by-election",0.783541
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Kanini Kega warns UDA will be buried in Ol Kalou by-election on July 16",0.782513
"Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho","Gachagua Reveals Final Step Before Unveiling United Opposition Candidate",0.782486
"KMTC Issues Update on Course Applications Amid Concerns over Admissions","NTSA Gives Fresh Directive Over Unclaimed Logbooks, Number Plates & Licences",0.782360
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Kindiki: Those aiding violence will be punished, regardless of who they support",0.782093
"Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho","Ol Kalou by-election: IEBC issues update amid fears of postponing July 16 minipoll",0.781773
"Ol Kalou by-election: DCP leaders ask IEBC to disqualify UDA candidate over voter bribery","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.781393
"Kindiki: Those aiding violence will be punished, regardless of who they support","Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service",0.781014
"Kalonzo-Sifuna tops preferred opposition pairing for 2027 presidential race, new poll","Gachagua Reveals Final Step Before Unveiling United Opposition Candidate",0.780628
"Ol Kalou by-election: William Ruto's candidate likely to lose, new poll shows","Kanini Kega warns UDA will be buried in Ol Kalou by-election on July 16",0.779924
"Gachagua Reveals Final Step Before Unveiling United Opposition Candidate","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.779752
"Muchina makes final appeal as Ol Kalou campaigns end","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.778917
"Sossion urges Interior Ministry to prosecute goon sponsors","Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service",0.778584
"Oburu Oginga declares ODM will not field presidential candidate in 2027 poll","Migori MCA explains why William Ruto should not leave presidency: ""Watakuita long-term""",0.778223
"Interest from invested road maintenance funds is taxable, court says","KRA, SportPesa fight over seizure of Sh1bn in telcos",0.777729
"Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.777242
"Sossion urges Interior Ministry to prosecute goon sponsors","Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men",0.777078
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Caroli Omondi accuses State of using plainclothes officers as goons",0.776221
"Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections","Kenyans in South Korea Send Plea to Govt Over Voting Rights",0.775652
"Protests Erupt Over Diversion of SGR Route","Ruto Reveals New Timelines for Completion of Deadly Stalled Bridge",0.775633
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Ol Kalou by-election: William Ruto's candidate likely to lose, new poll shows",0.774724
"CAF Awards President Ruto Ahead 2027 AFCON","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.774537
"Kindiki: Those aiding violence will be punished, regardless of who they support","Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk",0.774497
"Moses Kuria says violence against Linda Mwananchi team in Nyahururu was not organised by opposition","MP Caroli Omondi: Goons are hired criminals, not political activists",0.773874
"KNEC Gives 30-Day Deadline After Release of Exam Results for Some Students","Meru National Polytechnic fee structure, admission letters, courses, and student portal",0.773563
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.773523
"Kithure Kindiki emerges as most preferred running mate for William Ruto in 2027, new poll","Gachagua Reveals Final Step Before Unveiling United Opposition Candidate",0.773307
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","Caroli Omondi accuses State of using plainclothes officers as goons",0.773154
"Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service","Caroli Omondi accuses State of using plainclothes officers as goons",0.772816
"Moses Kuria says violence against Linda Mwananchi team in Nyahururu was not organised by opposition","Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service",0.772781
"Lobby Group Piles Pressure on IEBC Ahead of Ol Kalou By-Election","Muchina makes final appeal as Ol Kalou campaigns end",0.772640
"NTSA Gives Fresh Directive Over Unclaimed Logbooks, Number Plates & Licences","Musicians Face Payout Delays After Govt Suspends Music Rights Entity",0.771865
"Speaker Wetang'ula Faces Possible Jail Term After Fresh Contempt Case","Kenyans in South Korea Send Plea to Govt Over Voting Rights",0.771306
"Interest from invested road maintenance funds is taxable, court says","Agency to review KenGen’s Sh2.5bn carbon credits deal",0.770588
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Close Gachagua Ally and MP Attacked in Ol Kalou",0.770349
"Why Linda Mwananchi leaders cancelled Ol Kalou tour","Why Linda Mwananchi brigade is ruffling feathers",0.770293
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Sossion asserts goons are paid by politicians across political divide",0.769830
"Protests Erupt Over Diversion of SGR Route","County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons",0.769157
"'He gave me Sh50 for church': Father's last memory of son killed in Kisumu church violence","Kisumu: James Orengo condemns near-goon attack on him, Edwin Sifuna at church",0.768609
"Africa's population boom can be its greatest asset","Next industrial leap: Why Kenya is primed and ready for nuclear power",0.768322
"Meru National Polytechnic fee structure, admission letters, courses, and student portal","ICS College courses and the fee structure that makes it one of Nairobi's most popular choices",0.767881
"Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk","Caroli Omondi accuses State of using plainclothes officers as goons",0.767856
"NTSA Gives Fresh Directive Over Unclaimed Logbooks, Number Plates & Licences","Kenyans in South Korea Send Plea to Govt Over Voting Rights",0.767682
"DCP’s Kamau Ngotho urges Ol Kalou voters outside constituency to contact him before poll","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.766868
"Salasya rallies Ol Kalou voters to back DCP’s Sammy Ngotho","Kindiki: Those aiding violence will be punished, regardless of who they support",0.766851
"Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections","Ruto Reveals New Timelines for Completion of Deadly Stalled Bridge",0.766291
"MP Caroli Omondi: Goons are hired criminals, not political activists","Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk",0.766126
"Police Address Alleged Shooting of Governor Irungu Kang'ata's Driver","Take swift and firm actions to stop rising goon attacks",0.766083
"Oburu Oginga declares ODM will not field presidential candidate in 2027 poll","Gachagua Reveals Final Step Before Unveiling United Opposition Candidate",0.766058
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Sossion asserts goons are paid by politicians across political divide",0.765755
"Speaker Wetang'ula Faces Possible Jail Term After Fresh Contempt Case","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.765703
"Sossion asserts goons are paid by politicians across political divide","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.765621
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.765591
"MP Caroli Omondi: Goons are hired criminals, not political activists","County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons",0.765306
"Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.765230
"Collins Namaswa: 10-year-old Kenyan boy dies after tragic drowning incident in US","Tragedy as Grade 9 Student Dies After Falling From Rooftop at CITAM Schools Ngong",0.765187
"Speaker Wetang'ula Faces Possible Jail Term After Fresh Contempt Case","Musicians Face Payout Delays After Govt Suspends Music Rights Entity",0.765073
"CCTV Captures Moment Armed Man Ambushes Women Inside Salon","Suspect in Viral CCTV Restaurant Robbery Killed After Shootout",0.764998
"William Ruto launches 2027 charm offensive in Kalonzo's Ukambani stronghold","Raila Odinga Junior hints at seeking elective seat, asks Kenyans to support him: ""Nimeanza safari""",0.764876
"Rigathi Gachagua warns Matiang'i against ditching opposition for Ruto's side: ""Utaenda pekee yako""","Rigathi Gachagua reveals he'll follow Uhuru Kenyatta's political direction: ""Chanda na pete""",0.764850
"DCP’s Kamau Ngotho urges Ol Kalou voters outside constituency to contact him before poll","Kanini Kega warns UDA will be buried in Ol Kalou by-election on July 16",0.764775
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Why Linda Mwananchi leaders cancelled Ol Kalou tour",0.764680
"ICS College courses and the fee structure that makes it one of Nairobi's most popular choices","University of Eldoret courses, cluster points & fees structure",0.764423
"KNEC Gives 30-Day Deadline After Release of Exam Results for Some Students","Musicians Face Payout Delays After Govt Suspends Music Rights Entity",0.764349
"Moses Kuria says violence against Linda Mwananchi team in Nyahururu was not organised by opposition","County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons",0.764157
"Sossion asserts goons are paid by politicians across political divide","Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk",0.764059
"Speaker Wetang'ula Faces Possible Jail Term After Fresh Contempt Case","Gachagua Reveals Final Step Before Unveiling United Opposition Candidate",0.764001
"Chuka University courses offered in 2025/2026, fees and cluster points","KMTC Issues Update on Course Applications Amid Concerns over Admissions",0.763807
"Lobby Group Piles Pressure on IEBC Ahead of Ol Kalou By-Election","Explainer: When IEBC Can Postpone an Election Under Kenyan Law",0.763159
"William Ruto isn't foolish to lose 2027 election, Kiraitu Murungi sneers at Kenyans","Caleb Amisi predicts 2027 run-off after poll places Ruto ahead with 32 per cent",0.763154
"MP Caroli Omondi: Goons are hired criminals, not political activists","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.762660
"Chuka University courses offered in 2025/2026, fees and cluster points","ICS College courses and the fee structure that makes it one of Nairobi's most popular choices",0.762427
"Lobby Group Piles Pressure on IEBC Ahead of Ol Kalou By-Election","Kanini Kega warns UDA will be buried in Ol Kalou by-election on July 16",0.762405
"Ol Kalou by-election: William Ruto's candidate likely to lose, new poll shows","Close Gachagua Ally and MP Attacked in Ol Kalou",0.762239
"Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.762170
"Kipipiri MP Wanjiku Muhia writes to police IG after being trailed by armed men","Ol Kalou by-election: IEBC issues update amid fears of postponing July 16 minipoll",0.762002
"1 in 4 Kenyans Would Struggle After One Month Without Income, Report Finds","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.761774
"MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.761618
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","KMTC Issues Update on Course Applications Amid Concerns over Admissions",0.761617
"Ol Kalou by-election: IEBC issues update amid fears of postponing July 16 minipoll","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.761021
"Ol Kalou by-election: Moses Kuria backs Kang'ata, lists 3 things Gachagua fears most","Muchina makes final appeal as Ol Kalou campaigns end",0.760980
"Kindiki: Those aiding violence will be punished, regardless of who they support","Caroli Omondi accuses State of using plainclothes officers as goons",0.760975
"Sossion urges Interior Ministry to prosecute goon sponsors","MP Gakuya demands IEBC-police coordination, warns of action if Ol Kalou vote is compromised",0.760765
"Kieni MP Njoroge Wainaina to Kanini Kega: Stop looking for political relevance while drunk","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.760721
"Kalonzo-Sifuna tops preferred opposition pairing for 2027 presidential race, new poll","Kofi Annan Foundation Sounds Alarm on Kenya Ahead of 2027 General Elections",0.760397
"Police probe alleged shooting involving EALA lawmaker Kanini Kega","Governor Irungu Kang'ata's driver allegedly shot by police during chaos in Ol Kalou",0.760396
"Kisumu: James Orengo condemns near-goon attack on him, Edwin Sifuna at church","Police Address Alleged Shooting of Governor Irungu Kang'ata's Driver",0.760060
"Moses Kuria says violence against Linda Mwananchi team in Nyahururu was not organised by opposition","Sossion asserts goons are paid by politicians across political divide",0.760031
"Caroli Omondi accuses State of using plainclothes officers as goons","Kenya is becoming a goon society: Reuben Kigame sounds alarm over rising violence",0.759958
"Speaker Wetang'ula Faces Possible Jail Term After Fresh Contempt Case","County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons",0.759890
"Kenyans in South Korea Send Plea to Govt Over Voting Rights","Musicians Face Payout Delays After Govt Suspends Music Rights Entity",0.759882
"Speaker Wetang'ula Faces Possible Jail Term After Fresh Contempt Case","Ruto Reveals New Timelines for Completion of Deadly Stalled Bridge",0.759665
"William Ruto launches 2027 charm offensive in Kalonzo's Ukambani stronghold","William Ruto mourns Qatar's Sheikh Hamad bin Khalifa Al Thani: ""Deepest sympathies to your Highness""",0.759661
"KNEC Gives 30-Day Deadline After Release of Exam Results for Some Students","Kenyans in South Korea Send Plea to Govt Over Voting Rights",0.759500
